[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
total_params = 134404 (含可训练 v_th)
hidden = [128, 128, 128], batch = 12000 (0.2x train), lr = 0.03 (fixed), sigma = 0.2, rank = 32, max_epochs = 10000
初始 v_th = [0.300/0.300/0.300], 初始 tau_m = 20.000 (VTH_PER_LAYER=True, TRAIN_TAU=False)
E0813 08:26:00.368662     632 cuda_executor.cc:1176] [0] Failed to allocate device memory of 4.00GiB (4294967296 bytes): RESOURCE_EXHAUSTED: : CUDA_ERROR_OUT_OF_MEMORY: out of memory
=== Source Location Trace: === 
external/xla/xla/stream_executor/cuda/cuda_status.cc:45
external/xla/xla/stream_executor/cuda/cuda_device_allocator.cc:226
external/xla/xla/stream_executor/cuda/cuda_device_allocator.cc:403

LORA UPDATE (12000, 128, 32) (12000, 784, 32)
LORA UPDATE (12000, 128, 32) (12000, 128, 32)
LORA UPDATE (12000, 128, 32) (12000, 128, 32)
LORA UPDATE (12000, 10, 32) (12000, 128, 32)
  calib: 0.908s/epoch
  epoch  6500 | val 0.608 | best_train 0.610 | v_th [0.711/0.438/11.833] | tau 20.000 | 219s
  epoch  6550 | val 0.618 | best_train 0.610 | v_th [0.748/0.401/11.595] | tau 20.000 | 221s
  epoch  6600 | val 0.613 | best_train 0.611 | v_th [0.750/0.334/11.843] | tau 20.000 | 223s
  epoch  6650 | val 0.623 | best_train 0.611 | v_th [0.701/0.379/12.025] | tau 20.000 | 225s
  epoch  6700 | val 0.628 | best_train 0.611 | v_th [0.704/0.356/12.140] | tau 20.000 | 226s
  epoch  6750 | val 0.630 | best_train 0.611 | v_th [0.717/0.371/12.221] | tau 20.000 | 228s
  epoch  6800 | val 0.614 | best_train 0.611 | v_th [0.735/0.367/12.393] | tau 20.000 | 230s
  epoch  6850 | val 0.616 | best_train 0.611 | v_th [0.773/0.392/12.107] | tau 20.000 | 231s
  epoch  6900 | val 0.603 | best_train 0.611 | v_th [0.772/0.409/12.047] | tau 20.000 | 233s
  epoch  6950 | val 0.609 | best_train 0.611 | v_th [0.799/0.395/12.145] | tau 20.000 | 235s
  epoch  7000 | val 0.609 | best_train 0.611 | v_th [0.594/0.415/12.565] | tau 20.000 | 236s
  epoch  7050 | val 0.608 | best_train 0.611 | v_th [0.620/0.347/12.815] | tau 20.000 | 238s
  epoch  7100 | val 0.601 | best_train 0.611 | v_th [0.577/0.353/12.658] | tau 20.000 | 240s
  epoch  7150 | val 0.604 | best_train 0.611 | v_th [0.653/0.383/12.726] | tau 20.000 | 241s
  epoch  7200 | val 0.611 | best_train 0.612 | v_th [0.717/0.420/12.515] | tau 20.000 | 243s
  epoch  7250 | val 0.614 | best_train 0.615 | v_th [0.780/0.409/12.132] | tau 20.000 | 244s
  epoch  7300 | val 0.612 | best_train 0.618 | v_th [0.866/0.365/12.288] | tau 20.000 | 246s
  epoch  7350 | val 0.610 | best_train 0.619 | v_th [0.876/0.388/12.257] | tau 20.000 | 248s
  epoch  7400 | val 0.609 | best_train 0.619 | v_th [0.833/0.367/12.299] | tau 20.000 | 249s
  epoch  7450 | val 0.606 | best_train 0.619 | v_th [0.878/0.341/12.461] | tau 20.000 | 251s
  epoch  7500 | val 0.599 | best_train 0.619 | v_th [0.841/0.344/12.530] | tau 20.000 | 253s
  epoch  7550 | val 0.609 | best_train 0.619 | v_th [0.767/0.433/12.314] | tau 20.000 | 254s
  epoch  7600 | val 0.625 | best_train 0.619 | v_th [0.910/0.401/12.157] | tau 20.000 | 256s
