[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
total_params = 134404 (含可训练 v_th)
hidden = [128, 128, 128], batch = 12000 (0.2x train), lr = 0.03 (cosine), sigma = 0.2, rank = 32, max_epochs = 10000
初始 v_th = [0.300/0.300/0.300], 初始 tau_m = 20.000 (VTH_PER_LAYER=True, TRAIN_TAU=False)
E0813 08:33:06.677982     510 cuda_executor.cc:1176] [0] Failed to allocate device memory of 4.00GiB (4294967296 bytes): RESOURCE_EXHAUSTED: : CUDA_ERROR_OUT_OF_MEMORY: out of memory
=== Source Location Trace: ===
external/xla/xla/stream_executor/cuda/cuda_status.cc:45
external/xla/xla/stream_executor/cuda/cuda_device_allocator.cc:226
external/xla/xla/stream_executor/cuda/cuda_device_allocator.cc:403

LORA UPDATE (12000, 128, 32) (12000, 784, 32)
LORA UPDATE (12000, 128, 32) (12000, 128, 32)
LORA UPDATE (12000, 128, 32) (12000, 128, 32)
LORA UPDATE (12000, 10, 32) (12000, 128, 32)
  calib: 0.912s/epoch
  epoch  5100 | val 0.674 | best_train 0.672 | v_th [0.477/0.257/9.300] | tau 20.000 | 169s
  epoch  5150 | val 0.671 | best_train 0.672 | v_th [0.462/0.257/9.247] | tau 20.000 | 171s
  epoch  5200 | val 0.677 | best_train 0.672 | v_th [0.477/0.255/9.342] | tau 20.000 | 173s
  epoch  5250 | val 0.673 | best_train 0.672 | v_th [0.492/0.253/9.313] | tau 20.000 | 175s
  epoch  5300 | val 0.681 | best_train 0.672 | v_th [0.529/0.250/9.328] | tau 20.000 | 176s
  epoch  5350 | val 0.690 | best_train 0.672 | v_th [0.517/0.285/9.214] | tau 20.000 | 178s
  epoch  5400 | val 0.687 | best_train 0.675 | v_th [0.559/0.263/9.138] | tau 20.000 | 180s
  epoch  5450 | val 0.695 | best_train 0.675 | v_th [0.529/0.276/9.126] | tau 20.000 | 181s
  epoch  5500 | val 0.690 | best_train 0.675 | v_th [0.561/0.290/9.167] | tau 20.000 | 183s
  epoch  5550 | val 0.686 | best_train 0.675 | v_th [0.535/0.281/9.221] | tau 20.000 | 185s
  epoch  5600 | val 0.686 | best_train 0.675 | v_th [0.590/0.270/9.265] | tau 20.000 | 186s
  epoch  5650 | val 0.697 | best_train 0.675 | v_th [0.568/0.274/9.264] | tau 20.000 | 188s
  epoch  5700 | val 0.691 | best_train 0.678 | v_th [0.563/0.268/9.323] | tau 20.000 | 190s
  epoch  5750 | val 0.694 | best_train 0.678 | v_th [0.516/0.276/9.401] | tau 20.000 | 191s
  epoch  5800 | val 0.691 | best_train 0.678 | v_th [0.506/0.273/9.449] | tau 20.000 | 193s
  epoch  5850 | val 0.693 | best_train 0.678 | v_th [0.507/0.251/9.451] | tau 20.000 | 195s
  epoch  5900 | val 0.694 | best_train 0.679 | v_th [0.559/0.233/9.462] | tau 20.000 | 196s
  epoch  5950 | val 0.690 | best_train 0.679 | v_th [0.577/0.229/9.488] | tau 20.000 | 198s
  epoch  6000 | val 0.690 | best_train 0.679 | v_th [0.581/0.227/9.582] | tau 20.000 | 200s
  epoch  6050 | val 0.688 | best_train 0.679 | v_th [0.540/0.232/9.587] | tau 20.000 | 201s
  epoch  6100 | val 0.694 | best_train 0.679 | v_th [0.536/0.238/9.631] | tau 20.000 | 203s
  epoch  6150 | val 0.688 | best_train 0.680 | v_th [0.594/0.227/9.647] | tau 20.000 | 205s
  epoch  6200 | val 0.690 | best_train 0.680 | v_th [0.579/0.225/9.598] | tau 20.000 | 206s
  epoch  6250 | val 0.697 | best_train 0.684 | v_th [0.580/0.226/9.650] | tau 20.000 | 208s
  epoch  6300 | val 0.694 | best_train 0.684 | v_th [0.576/0.233/9.637] | tau 20.000 | 209s
  epoch  6350 | val 0.696 | best_train 0.684 | v_th [0.572/0.237/9.684] | tau 20.000 | 211s
  epoch  6400 | val 0.696 | best_train 0.685 | v_th [0.566/0.239/9.687] | tau 20.000 | 213s
  epoch  6450 | val 0.702 | best_train 0.686 | v_th [0.547/0.227/9.757] | tau 20.000 | 214s
  epoch  6500 | val 0.706 | best_train 0.686 | v_th [0.553/0.224/9.808] | tau 20.000 | 216s
  epoch  6550 | val 0.707 | best_train 0.686 | v_th [0.542/0.226/9.815] | tau 20.000 | 217s
  epoch  6600 | val 0.701 | best_train 0.688 | v_th [0.538/0.229/9.722] | tau 20.000 | 219s
  epoch  6650 | val 0.703 | best_train 0.689 | v_th [0.529/0.237/9.786] | tau 20.000 | 221s
  epoch  6700 | val 0.699 | best_train 0.689 | v_th [0.536/0.239/9.777] | tau 20.000 | 222s
  epoch  6750 | val 0.691 | best_train 0.689 | v_th [0.548/0.250/9.816] | tau 20.000 | 224s
  epoch  6800 | val 0.697 | best_train 0.689 | v_th [0.538/0.242/9.696] | tau 20.000 | 226s
  epoch  6850 | val 0.704 | best_train 0.689 | v_th [0.551/0.252/9.662] | tau 20.000 | 227s
  epoch  6900 | val 0.699 | best_train 0.689 | v_th [0.586/0.245/9.620] | tau 20.000 | 229s
  epoch  6950 | val 0.693 | best_train 0.689 | v_th [0.580/0.239/9.640] | tau 20.000 | 231s
  epoch  7000 | val 0.698 | best_train 0.689 | v_th [0.572/0.237/9.671] | tau 20.000 | 232s
  epoch  7050 | val 0.706 | best_train 0.689 | v_th [0.577/0.242/9.621] | tau 20.000 | 234s
  epoch  7100 | val 0.705 | best_train 0.690 | v_th [0.570/0.257/9.630] | tau 20.000 | 236s
  epoch  7150 | val 0.696 | best_train 0.690 | v_th [0.564/0.251/9.632] | tau 20.000 | 237s
  epoch  7200 | val 0.697 | best_train 0.690 | v_th [0.547/0.252/9.613] | tau 20.000 | 239s
  epoch  7250 | val 0.699 | best_train 0.690 | v_th [0.568/0.255/9.629] | tau 20.000 | 241s
  epoch  7300 | val 0.693 | best_train 0.691 | v_th [0.601/0.245/9.674] | tau 20.000 | 242s
  epoch  7350 | val 0.699 | best_train 0.691 | v_th [0.608/0.240/9.729] | tau 20.000 | 244s
  epoch  7400 | val 0.697 | best_train 0.691 | v_th [0.626/0.243/9.720] | tau 20.000 | 246s
  epoch  7450 | val 0.693 | best_train 0.691 | v_th [0.633/0.233/9.755] | tau 20.000 | 247s
  epoch  7500 | val 0.698 | best_train 0.691 | v_th [0.635/0.229/9.737] | tau 20.000 | 249s
  epoch  7550 | val 0.704 | best_train 0.691 | v_th [0.633/0.230/9.759] | tau 20.000 | 251s
  epoch  7600 | val 0.697 | best_train 0.691 | v_th [0.617/0.225/9.786] | tau 20.000 | 253s
  epoch  7650 | val 0.697 | best_train 0.691 | v_th [0.607/0.217/9.832] | tau 20.000 | 254s
  epoch  7700 | val 0.700 | best_train 0.691 | v_th [0.607/0.218/9.890] | tau 20.000 | 256s
  epoch  7750 | val 0.697 | best_train 0.691 | v_th [0.600/0.218/9.904] | tau 20.000 | 258s
  epoch  7800 | val 0.699 | best_train 0.691 | v_th [0.589/0.213/9.929] | tau 20.000 | 259s
  epoch  7850 | val 0.695 | best_train 0.691 | v_th [0.586/0.217/9.915] | tau 20.000 | 261s
  epoch  7900 | val 0.692 | best_train 0.691 | v_th [0.595/0.223/9.933] | tau 20.000 | 263s
  epoch  7950 | val 0.693 | best_train 0.692 | v_th [0.584/0.221/9.931] | tau 20.000 | 264s
  epoch  8000 | val 0.692 | best_train 0.692 | v_th [0.584/0.228/9.926] | tau 20.000 | 266s
  epoch  8050 | val 0.699 | best_train 0.692 | v_th [0.580/0.229/9.929] | tau 20.000 | 268s
  epoch  8100 | val 0.696 | best_train 0.692 | v_th [0.579/0.228/9.891] | tau 20.000 | 269s
  epoch  8150 | val 0.700 | best_train 0.692 | v_th [0.577/0.227/9.913] | tau 20.000 | 271s
  epoch  8200 | val 0.697 | best_train 0.692 | v_th [0.560/0.231/9.888] | tau 20.000 | 272s
  epoch  8250 | val 0.697 | best_train 0.692 | v_th [0.559/0.228/9.889] | tau 20.000 | 274s
  epoch  8300 | val 0.698 | best_train 0.692 | v_th [0.553/0.233/9.881] | tau 20.000 | 276s
  epoch  8350 | val 0.699 | best_train 0.692 | v_th [0.550/0.234/9.892] | tau 20.000 | 277s
