[env] backend=cuda batch=60000 accumulate=5 chunk=12000 rank=64 T=8 noise_reuse=0
[data] train=60000 test=10000 dir=D:\Rust\snn_t1\mnist_data
epoch  1500 | train_acc 0.8380 | best_train 0.8405 | 1.32s | cum 1987.7s
epoch  1510 | train_acc 0.8374 | best_train 0.8405 | 1.32s | cum 2000.9s
epoch  1520 | train_acc 0.8373 | best_train 0.8405 | 1.32s | cum 2014.0s
epoch  1530 | train_acc 0.8400 | best_train 0.8411 | 1.32s | cum 2027.2s
epoch  1540 | train_acc 0.8393 | best_train 0.8416 | 1.32s | cum 2040.4s
epoch  1550 | train_acc 0.8407 | best_train 0.8416 | 1.32s | cum 2053.6s
epoch  1560 | train_acc 0.8405 | best_train 0.8423 | 1.31s | cum 2066.8s
epoch  1570 | train_acc 0.8420 | best_train 0.8428 | 1.32s | cum 2079.9s
epoch  1580 | train_acc 0.8425 | best_train 0.8429 | 1.31s | cum 2093.1s
epoch  1590 | train_acc 0.8431 | best_train 0.8439 | 1.32s | cum 2106.3s
epoch  1600 | train_acc 0.8431 | best_train 0.8445 | 1.32s | cum 2119.5s
epoch  1610 | train_acc 0.8428 | best_train 0.8445 | 1.31s | cum 2132.7s
epoch  1620 | train_acc 0.8429 | best_train 0.8445 | 1.31s | cum 2145.8s
epoch  1630 | train_acc 0.8428 | best_train 0.8445 | 1.39s | cum 2159.4s
epoch  1640 | train_acc 0.8445 | best_train 0.8449 | 1.39s | cum 2173.3s
epoch  1650 | train_acc 0.8450 | best_train 0.8455 | 1.43s | cum 2187.5s
epoch  1660 | train_acc 0.8439 | best_train 0.8455 | 1.35s | cum 2201.7s
epoch  1670 | train_acc 0.8450 | best_train 0.8455 | 1.37s | cum 2215.4s
epoch  1680 | train_acc 0.8440 | best_train 0.8455 | 1.36s | cum 2229.1s
epoch  1690 | train_acc 0.8443 | best_train 0.8457 | 1.37s | cum 2242.9s
epoch  1700 | train_acc 0.8460 | best_train 0.8461 | 1.34s | cum 2256.5s
epoch  1710 | train_acc 0.8429 | best_train 0.8478 | 1.38s | cum 2270.2s
epoch  1720 | train_acc 0.8452 | best_train 0.8478 | 1.38s | cum 2284.0s
epoch  1730 | train_acc 0.8457 | best_train 0.8478 | 1.37s | cum 2297.8s
epoch  1740 | train_acc 0.8461 | best_train 0.8478 | 1.36s | cum 2311.3s
epoch  1750 | train_acc 0.8477 | best_train 0.8493 | 1.37s | cum 2324.8s
epoch  1760 | train_acc 0.8480 | best_train 0.8498 | 1.38s | cum 2338.6s
epoch  1770 | train_acc 0.8494 | best_train 0.8498 | 1.39s | cum 2352.3s
epoch  1780 | train_acc 0.8475 | best_train 0.8498 | 1.34s | cum 2365.8s
epoch  1790 | train_acc 0.8503 | best_train 0.8517 | 1.34s | cum 2379.2s
epoch  1800 | train_acc 0.8481 | best_train 0.8517 | 1.35s | cum 2392.7s
epoch  1810 | train_acc 0.8503 | best_train 0.8517 | 1.37s | cum 2406.3s
epoch  1820 | train_acc 0.8487 | best_train 0.8517 | 1.37s | cum 2420.1s
epoch  1830 | train_acc 0.8489 | best_train 0.8517 | 1.34s | cum 2433.7s
epoch  1840 | train_acc 0.8503 | best_train 0.8517 | 1.35s | cum 2447.3s
epoch  1850 | train_acc 0.8503 | best_train 0.8528 | 1.35s | cum 2460.7s
epoch  1860 | train_acc 0.8505 | best_train 0.8546 | 1.34s | cum 2474.2s
epoch  1870 | train_acc 0.8521 | best_train 0.8546 | 1.33s | cum 2487.8s
epoch  1880 | train_acc 0.8545 | best_train 0.8546 | 1.33s | cum 2501.1s
